iter	Passed	Remaining
0	149	149821
1	155	77468
2	161	53625
3	166	41407
4	171	34052
5	177	29337
6	182	25850
7	187	23217
8	193	21335
9	199	19779
10	205	18512
11	212	17456
12	217	16501
13	222	15690
14	228	14979
15	232	14317
16	237	13722
17	243	13257
18	247	12779
19	252	12353
20	260	12135
21	264	11771
22	269	11443
23	274	11182
24	279	10894
25	284	10641
26	289	10438
27	294	10214
28	298	10010
29	303	9829
30	308	9651
31	313	9477
32	317	9315
33	323	9188
34	327	9039
35	332	8897
36	338	8817
37	344	8717
38	348	8599
39	355	8537
40	360	8443
41	365	8347
42	371	8277
43	376	8181
44	381	8089
45	386	8017
46	391	7929
47	395	7848
48	400	7777
49	405	7703
50	410	7630
51	414	7555
52	419	7499
53	424	7439
54	428	7370
55	434	7320
56	438	7258
57	443	7199
58	447	7143
59	453	7097
60	457	7043
61	462	6990
62	467	6952
63	472	6906
64	476	6856
65	481	6818
66	486	6776
67	491	6731
68	495	6690
69	501	6662
70	505	6620
71	510	6579
72	515	6552
73	520	6513
74	524	6474
75	530	6449
76	535	6414
77	539	6379
78	544	6347
79	549	6322
80	554	6287
81	558	6255
82	564	6240
83	569	6209
84	574	6181
85	579	6157
86	584	6128
87	588	6099
88	592	6068
89	598	6050
90	602	6022
91	607	5997
92	613	5982
93	618	5957
94	623	5940
95	629	5926
96	634	5906
97	639	5883
98	645	5872
99	650	5853
100	654	5829
101	660	5814
102	665	5796
103	670	5775
104	675	5760
105	681	5745
106	685	5724
107	690	5702
108	696	5697
109	701	5677
110	706	5656
111	712	5645
112	717	5630
113	722	5614
114	729	5614
115	734	5600
116	739	5582
117	745	5573
118	750	5555
119	755	5538
120	761	5530
121	766	5513
122	770	5496
123	776	5486
124	781	5467
125	785	5448
126	790	5434
127	794	5415
128	799	5397
129	803	5379
130	809	5366
131	813	5349
132	818	5333
133	823	5321
134	827	5304
135	832	5289
136	837	5273
137	842	5260
138	846	5244
139	851	5229
140	856	5219
141	861	5205
142	865	5189
143	871	5178
144	875	5163
145	880	5148
146	884	5133
147	890	5123
148	894	5109
149	899	5094
150	904	5084
151	909	5071
152	913	5057
153	918	5044
154	923	5032
155	927	5019
156	932	5005
157	937	4997
158	942	4984
159	946	4970
160	951	4960
161	956	4947
162	960	4934
163	965	4922
164	970	4913
165	975	4900
166	979	4887
167	985	4879
168	989	4867
169	994	4855
170	998	4842
171	1003	4832
172	1008	4820
173	1013	4809
174	1018	4801
175	1022	4789
176	1027	4778
177	1032	4769
178	1037	4757
179	1041	4746
180	1046	4734
181	1051	4727
182	1056	4716
183	1061	4705
184	1066	4698
185	1071	4687
186	1075	4675
187	1080	4664
188	1085	4656
189	1089	4645
190	1094	4634
191	1099	4627
192	1103	4612
193	1107	4601
194	1112	4590
195	1117	4586
196	1123	4579
197	1127	4568
198	1133	4561
199	1137	4551
200	1142	4541
201	1147	4535
202	1152	4524
203	1156	4514
204	1162	4507
205	1166	4497
206	1171	4486
207	1175	4477
208	1181	4470
209	1185	4459
210	1190	4450
211	1195	4444
212	1200	4435
213	1205	4427
214	1210	4421
215	1215	4412
216	1220	4402
217	1225	4396
218	1230	4388
219	1235	4378
