iter	Passed	Remaining
0	139	138940
1	142	71026
2	145	48316
3	148	36940
4	152	30368
5	156	25864
6	159	22622
7	162	20185
8	167	18397
9	170	16860
10	173	15584
11	176	14520
12	179	13624
13	183	12902
14	186	12235
15	189	11647
16	192	11144
17	195	10678
18	199	10298
19	202	9933
20	206	9606
21	209	9304
22	212	9043
23	216	8793
24	219	8554
25	222	8345
26	225	8142
27	229	7969
28	232	7793
29	236	7632
30	239	7497
31	243	7358
32	247	7238
33	250	7106
34	253	6983
35	256	6866
36	259	6754
37	263	6663
38	266	6562
39	270	6481
40	273	6393
41	276	6312
42	279	6230
43	283	6149
44	286	6072
45	289	5997
46	292	5932
47	295	5867
48	299	5814
49	302	5751
50	305	5689
51	309	5640
52	312	5591
53	316	5535
54	319	5481
55	322	5430
56	325	5388
57	328	5343
58	332	5300
59	335	5254
60	338	5218
61	343	5204
62	347	5173
63	351	5138
64	354	5101
65	359	5086
66	362	5052
67	366	5022
68	369	4986
69	373	4959
70	376	4927
71	379	4893
72	382	4862
73	386	4840
74	392	4841
75	396	4822
76	400	4805
77	404	4785
78	408	4767
79	412	4738
80	415	4712
81	418	4686
82	422	4671
83	425	4644
84	429	4619
85	432	4593
86	435	4568
87	438	4549
88	441	4524
89	445	4505
90	448	4481
91	451	4458
92	455	4446
93	459	4424
94	462	4402
95	465	4381
96	468	4361
97	472	4348
98	475	4329
99	478	4309
100	481	4288
101	485	4271
102	488	4258
103	492	4240
104	495	4222
105	498	4203
106	501	4189
107	505	4173
108	508	4155
109	511	4139
110	515	4126
111	520	4125
112	523	4113
113	527	4099
114	530	4086
115	535	4078
116	538	4065
117	541	4051
118	545	4036
119	548	4021
120	552	4012
121	555	4000
122	559	3986
123	562	3971
124	566	3962
125	569	3951
126	572	3936
127	575	3922
128	578	3909
129	582	3897
130	585	3886
131	589	3873
132	592	3862
133	595	3848
134	599	3838
135	602	3828
136	605	3816
137	609	3808
138	613	3797
139	617	3792
140	620	3781
141	624	3770
142	627	3758
143	630	3748
144	634	3740
145	637	3730
146	640	3718
147	643	3706
148	647	3697
149	650	3687
150	653	3676
151	656	3665
152	659	3653
153	663	3646
154	666	3635
155	669	3623
156	671	3608
157	674	3597
158	678	3588
159	681	3578
160	684	3568
161	687	3557
162	690	3546
163	693	3535
164	697	3528
165	700	3518
166	703	3508
167	706	3498
168	709	3488
169	713	3485
170	717	3477
171	720	3467
172	723	3457
173	726	3449
174	729	3441
175	732	3431
176	735	3421
177	738	3411
178	742	3403
179	745	3396
180	748	3387
181	751	3378
182	754	3369
183	757	3361
184	761	3354
185	764	3345
186	767	3337
187	770	3329
188	774	3321
189	777	3314
190	780	3306
191	783	3297
192	787	3291
193	791	3287
194	795	3283
195	798	3276
196	802	3269
197	805	3261
198	809	3256
199	812	3251
200	816	3244
201	819	3237
202	823	3231
203	826	3225
204	829	3217
205	832	3210
206	836	3202
207	839	3196
208	842	3190
209	846	3185
210	850	3178
211	853	3171
212	857	3168
213	861	3163
214	864	3156
215	867	3149
216	870	3142
217	874	3138
218	878	3134
219	882	3128
220	885	3120
221	889	3118
222	893	3113
223	896	3106
224	900	3100
225	904	3096
226	907	3091
227	911	3086
228	914	3079
229	918	3073
230	922	3071
231	926	3066
232	930	3061
233	934	3057
234	939	3059
235	943	3054
236	947	3049
237	952	3049
238	956	3045
239	960	3040
240	965	3040
241	969	3037
242	973	3033
243	977	3029
244	984	3034
245	988	3031
246	993	3028
247	997	3025
248	1002	3024
249	1006	3020
250	1010	3016
251	1014	3011
252	1018	3008
253	1023	3005
254	1027	3002
255	1032	3001
256	1037	2998
257	1043	3001
258	1047	2997
259	1052	2994
260	1056	2990
261	1060	2986
262	1064	2983
263	1070	2985
264	1074	2980
265	1080	2981
266	1085	2980
267	1090	2978
268	1096	2979
269	1102	2980
270	1107	2979
271	1112	2977
272	1117	2975
273	1121	2970
274	1125	2966
275	1129	2964
276	1133	2959
277	1138	2956
278	1143	2954
279	1148	2952
280	1152	2949
281	1157	2946
282	1162	2945
283	1167	2942
284	1172	2940
285	1180	2946
286	1186	2947
287	1191	2945
288	1196	2943
289	1200	2938
290	1203	2933
291	1207	2928
292	1211	2923
293	1215	2919
294	1220	2917
295	1226	2917
296	1231	2913
297	1237	2915
298	1243	2915
299	1248	2912
300	1254	2912
301	1258	2908
302	1262	2903
303	1265	2897
304	1269	2892
305	1272	2887
306	1277	2883
307	1281	2880
308	1285	2875
309	1289	2870
310	1293	2866
311	1317	2905
312	1332	2925
313	1336	2920
314	1341	2917
315	1345	2913
316	1350	2909
317	1354	2905
318	1358	2901
319	1362	2895
320	1368	2893
321	1376	2898
322	1380	2894
323	1386	2893
324	1392	2892
325	1397	2888
326	1401	2883
327	1407	2883
328	1412	2879
329	1417	2878
330	1422	2875
331	1427	2872
332	1432	2869
333	1438	2868
334	1443	2866
335	1448	2862
336	1453	2859
337	1457	2855
338	1461	2850
339	1470	2854
340	1474	2849
341	1478	2844
342	1482	2840
343	1488	2837
344	1492	2834
345	1496	2829
346	1501	2825
347	1506	2821
348	1509	2816
349	1513	2810
350	1517	2805
351	1521	2800
352	1524	2794
353	1527	2787
354	1531	2782
355	1535	2778
356	1538	2771
357	1541	2765
358	1545	2759
359	1549	2754
360	1552	2747
361	1555	2741
362	1558	2735
363	1561	2728
364	1565	2723
365	1568	2717
366	1572	2711
367	1575	2705
368	1578	2699
369	1582	2694
370	1585	2688
371	1588	2682
372	1592	2676
373	1595	2671
374	1599	2665
375	1602	2658
376	1605	2652
377	1608	2646
378	1612	2641
379	1615	2635
380	1618	2629
381	1622	2624
382	1625	2618
383	1629	2613
384	1632	2608
385	1636	2602
386	1639	2596
387	1642	2590
388	1646	2585
389	1649	2579
390	1652	2573
391	1655	2567
392	1658	2561
393	1662	2556
394	1665	2551
395	1668	2545
396	1672	2539
397	1676	2535
398	1680	2531
399	1684	2526
400	1687	2521
401	1691	2515
402	1694	2510
403	1697	2504
404	1701	2499
405	1704	2493
406	1707	2487
407	1711	2483
408	1716	2480
409	1720	2475
410	1723	2469
411	1727	2465
412	1730	2459
413	1734	2454
414	1737	2448
415	1741	2444
416	1745	2439
417	1748	2434
418	1751	2428
419	1754	2423
420	1758	2418
421	1761	2412
422	1764	2406
423	1767	2401
424	1771	2396
425	1774	2391
426	1777	2385
427	1780	2380
428	1784	2374
429	1787	2369
430	1790	2364
431	1793	2358
432	1796	2353
433	1800	2347
434	1803	2342
435	1807	2337
436	1810	2332
437	1813	2326
438	1816	2320
439	1819	2315
440	1822	2310
441	1826	2305
442	1829	2300
443	1832	2294
444	1835	2289
445	1839	2284
446	1842	2278
447	1846	2275
448	1849	2269
449	1853	2265
450	1856	2259
451	1859	2254
452	1862	2249
453	1865	2243
454	1869	2239
455	1872	2233
456	1875	2228
457	1878	2223
458	1881	2218
459	1885	2213
460	1889	2209
461	1892	2203
462	1895	2198
463	1898	2193
464	1902	2189
465	1905	2184
466	1909	2179
467	1912	2173
468	1915	2168
469	1919	2164
470	1923	2159
471	1926	2154
472	1929	2149
473	1933	2145
474	1937	2141
475	1940	2136
476	1943	2131
477	1947	2126
478	1951	2122
479	1954	2117
480	1958	2112
481	1961	2108
482	1965	2103
483	1968	2099
484	1972	2094
485	1975	2089
486	1978	2084
487	1983	2080
488	1986	2076
489	1991	2072
490	1994	2067
491	1998	2063
492	2002	2059
493	2006	2055
494	2009	2050
495	2012	2045
496	2016	2041
497	2020	2036
498	2023	2031
499	2026	2026
500	2030	2022
501	2034	2018
502	2038	2014
503	2041	2009
504	2045	2004
505	2048	2000
506	2051	1995
507	2054	1990
508	2057	1985
509	2061	1980
510	2064	1975
511	2067	1971
512	2071	1966
513	2074	1961
514	2078	1957
515	2081	1952
516	2084	1947
517	2087	1942
518	2090	1937
519	2093	1932
520	2097	1928
521	2101	1924
522	2104	1919
523	2107	1914
524	2111	1910
525	2115	1905
526	2118	1901
527	2121	1896
528	2124	1891
529	2127	1886
530	2130	1882
531	2133	1877
532	2136	1872
533	2139	1867
534	2143	1863
535	2146	1858
536	2149	1853
537	2152	1848
538	2155	1843
539	2159	1839
540	2162	1834
541	2165	1829
542	2168	1825
543	2171	1820
544	2175	1816
545	2178	1811
546	2181	1806
547	2184	1801
548	2187	1797
549	2191	1793
550	2194	1788
551	2197	1783
552	2201	1779
553	2204	1774
554	2207	1770
555	2210	1765
556	2214	1760
557	2217	1756
558	2220	1751
559	2223	1747
560	2226	1742
561	2230	1738
562	2233	1733
563	2236	1728
564	2239	1724
565	2242	1719
566	2246	1715
567	2249	1710
568	2252	1706
569	2256	1701
570	2259	1697
571	2262	1692
572	2265	1688
573	2268	1683
574	2271	1679
575	2275	1674
576	2278	1670
577	2281	1665
578	2284	1661
579	2288	1657
580	2292	1653
581	2296	1649
582	2299	1644
583	2302	1640
584	2306	1636
585	2310	1632
586	2313	1627
587	2317	1623
588	2321	1620
589	2325	1616
590	2329	1612
591	2333	1607
592	2337	1604
593	2340	1600
594	2344	1595
595	2348	1591
596	2352	1587
597	2356	1583
598	2361	1580
599	2365	1576
600	2369	1573
601	2373	1569
602	2376	1564
603	2380	1560
604	2385	1557
605	2389	1553
606	2393	1549
607	2396	1545
608	2401	1541
609	2404	1537
610	2408	1533
611	2411	1529
612	2415	1524
613	2418	1520
614	2421	1515
615	2424	1511
616	2427	1507
617	2431	1502
618	2434	1498
619	2437	1494
620	2440	1489
621	2444	1485
622	2447	1481
623	2450	1476
624	2454	1472
625	2457	1468
626	2460	1463
627	2463	1459
628	2467	1455
629	2470	1450
630	2473	1446
631	2476	1441
632	2479	1437
633	2483	1433
634	2487	1429
635	2490	1425
636	2494	1421
637	2497	1417
638	2501	1413
639	2504	1408
640	2507	1404
641	2510	1400
642	2514	1395
643	2517	1391
644	2520	1387
645	2523	1382
646	2527	1378
647	2531	1375
648	2535	1371
649	2538	1366
650	2541	1362
651	2545	1358
652	2549	1354
653	2552	1350
654	2556	1346
655	2559	1342
656	2563	1338
657	2567	1334
658	2570	1329
659	2573	1325
660	2577	1322
661	2581	1318
662	2584	1313
663	2588	1309
664	2591	1305
665	2594	1301
666	2597	1297
667	2601	1292
668	2604	1288
669	2608	1284
670	2611	1280
671	2614	1276
672	2618	1272
673	2621	1267
674	2624	1263
675	2628	1259
676	2631	1255
677	2634	1251
678	2637	1246
679	2640	1242
680	2643	1238
681	2647	1234
682	2650	1230
683	2654	1226
684	2657	1222
685	2661	1218
686	2664	1213
687	2667	1209
688	2670	1205
689	2674	1201
690	2677	1197
691	2680	1192
692	2683	1188
693	2686	1184
694	2690	1180
695	2693	1176
696	2696	1172
697	2699	1167
698	2702	1163
699	2706	1159
700	2709	1155
701	2712	1151
702	2715	1147
703	2718	1142
704	2722	1139
705	2725	1134
706	2728	1130
707	2731	1126
708	2734	1122
709	2737	1118
710	2740	1114
711	2744	1109
712	2747	1105
713	2750	1101
714	2753	1097
715	2756	1093
716	2759	1089
717	2762	1085
718	2765	1080
719	2769	1077
720	2772	1072
721	2775	1068
722	2779	1064
723	2782	1060
724	2786	1056
725	2789	1052
726	2792	1048
727	2795	1044
728	2798	1040
729	2802	1036
730	2805	1032
731	2808	1028
732	2811	1024
733	2814	1020
734	2818	1016
735	2821	1012
736	2824	1008
737	2827	1003
738	2830	999
739	2834	995
740	2837	991
741	2840	987
742	2843	983
743	2846	979
744	2850	975
745	2853	971
746	2856	967
747	2859	963
748	2862	959
749	2866	955
750	2870	951
751	2874	947
752	2877	943
753	2881	940
754	2884	936
755	2888	932
756	2891	928
757	2893	923
758	2896	919
759	2900	915
760	2903	911
761	2906	907
762	2909	903
763	2912	899
764	2915	895
765	2918	891
766	2922	887
767	2925	883
768	2928	879
769	2931	875
770	2934	871
771	2937	867
772	2940	863
773	2943	859
774	2947	855
775	2950	851
776	2953	847
777	2956	843
778	2959	839
779	2962	835
780	2965	831
781	2968	827
782	2972	823
783	2975	819
784	2978	815
785	2981	811
786	2985	807
787	2988	803
788	2991	799
789	2994	796
790	2997	792
791	3001	788
792	3004	784
793	3007	780
794	3010	776
795	3013	772
796	3016	768
797	3019	764
798	3022	760
799	3026	756
800	3029	752
801	3032	748
802	3035	744
803	3038	740
804	3041	736
805	3045	733
806	3048	729
807	3051	725
808	3054	721
809	3058	717
810	3061	713
811	3064	709
812	3067	705
813	3070	701
814	3074	697
815	3077	693
816	3080	690
817	3083	686
818	3086	682
819	3090	678
820	3093	674
821	3096	670
822	3099	666
823	3102	662
824	3105	658
825	3109	654
826	3112	651
827	3115	647
828	3118	643
829	3121	639
830	3124	635
831	3128	631
832	3131	627
833	3134	623
834	3137	619
835	3140	616
836	3143	612
837	3146	608
838	3149	604
839	3153	600
840	3156	596
841	3159	592
842	3162	589
843	3165	585
844	3169	581
845	3172	577
846	3175	573
847	3178	569
848	3182	565
849	3185	562
850	3188	558
851	3192	554
852	3195	550
853	3198	546
854	3201	542
855	3204	539
856	3207	535
857	3210	531
858	3214	527
859	3217	523
860	3220	519
861	3223	516
862	3227	512
863	3230	508
864	3233	504
865	3237	500
866	3241	497
867	3245	493
868	3249	489
869	3253	486
870	3257	482
871	3260	478
872	3263	474
873	3266	470
874	3270	467
875	3273	463
876	3276	459
877	3279	455
878	3282	451
879	3286	448
880	3289	444
881	3292	440
882	3295	436
883	3299	432
884	3303	429
885	3307	425
886	3310	421
887	3313	417
888	3318	414
889	3322	410
890	3325	406
891	3328	402
892	3331	399
893	3335	395
894	3338	391
895	3342	387
896	3345	384
897	3349	380
898	3352	376
899	3355	372
900	3358	369
901	3360	365
902	3365	361
903	3368	357
904	3372	354
905	3375	350
906	3380	346
907	3384	342
908	3387	339
909	3390	335
910	3394	331
911	3398	327
912	3401	324
913	3406	320
914	3409	316
915	3413	313
916	3418	309
917	3422	305
918	3426	301
919	3430	298
920	3433	294
921	3437	290
922	3441	287
923	3444	283
924	3448	279
925	3452	275
926	3455	272
927	3459	268
928	3463	264
929	3467	260
930	3470	257
931	3473	253
932	3477	249
933	3481	246
934	3485	242
935	3488	238
936	3492	234
937	3496	231
938	3500	227
939	3505	223
940	3510	220
941	3514	216
942	3518	212
943	3522	208
944	3527	205
945	3530	201
946	3534	197
947	3538	194
948	3542	190
949	3546	186
950	3549	182
951	3553	179
952	3556	175
953	3559	171
954	3563	167
955	3566	164
956	3569	160
957	3573	156
958	3577	152
959	3581	149
960	3584	145
961	3587	141
962	3591	137
963	3595	134
964	3598	130
965	3601	126
966	3605	123
967	3609	119
968	3613	115
969	3616	111
970	3619	108
971	3623	104
972	3627	100
973	3630	96
974	3633	93
975	3638	89
976	3643	85
977	3646	82
978	3650	78
979	3654	74
980	3657	70
981	3661	67
982	3664	63
983	3667	59
984	3672	55
985	3675	52
986	3679	48
987	3682	44
988	3686	41
989	3690	37
990	3694	33
991	3697	29
992	3700	26
993	3704	22
994	3708	18
995	3711	14
996	3714	11
997	3718	7
998	3722	3
999	3725	0
