iter	MultiClass
0	1.452515331
1	1.335273775
2	1.245299343
3	1.163161223
4	1.099851789
5	1.044062216
6	0.9928031394
7	0.9482635373
8	0.9112251811
9	0.8752612651
10	0.8420252348
11	0.812972121
12	0.7856193514
13	0.7625662811
14	0.7406705079
15	0.7206156437
16	0.6985320924
17	0.6795818442
18	0.6626376136
19	0.6480470679
20	0.6351343097
21	0.622565306
22	0.6082190862
23	0.5946262881
24	0.5814634975
25	0.5700177333
26	0.560532577
27	0.5516324686
28	0.5390257759
29	0.5288556497
30	0.5207784633
31	0.5119814074
32	0.5045211769
33	0.4979735144
34	0.4904053937
35	0.4844649351
36	0.4776415603
37	0.4703750877
38	0.4654649933
39	0.4579836405
40	0.452469443
41	0.4485844341
42	0.4428327361
43	0.4359271334
44	0.4295699934
45	0.422964737
46	0.4196964407
47	0.4160801271
48	0.4097056625
49	0.4064124484
50	0.4035573972
51	0.4007415832
52	0.3960724281
53	0.3920385453
54	0.3898817257
55	0.387705583
56	0.3857046733
57	0.3796944721
58	0.3767335002
59	0.3710765156
60	0.3683342455
61	0.3650245661
62	0.3612838937
63	0.3574255645
64	0.3525699989
65	0.3503521652
66	0.3476147572
67	0.3446923108
68	0.3420718738
69	0.3392185874
70	0.3365260622
71	0.3346909489
72	0.3317166123
73	0.3277656133
74	0.3249780413
75	0.3231556961
76	0.3213312218
77	0.3184379176
78	0.3141508208
79	0.312279121
80	0.309336117
81	0.3074767576
82	0.3055275239
83	0.3035283897
84	0.3015796273
85	0.300131921
86	0.2981360073
87	0.2959980217
88	0.2940143776
89	0.291129616
90	0.2900477224
91	0.287673153
92	0.28592636
93	0.2844770933
94	0.2812446415
95	0.2797246015
96	0.2771754702
97	0.2760664525
98	0.2745147867
99	0.2724224702
100	0.2710101804
101	0.2698080452
102	0.2687352604
103	0.2670092541
104	0.264038227
105	0.2616270865
106	0.2611944728
107	0.2599862375
108	0.2576190427
109	0.256706241
110	0.2558521461
111	0.2542925156
112	0.2529776556
113	0.2520720099
114	0.2513618964
115	0.2501595774
116	0.2474632721
117	0.2464348571
118	0.2452648293
119	0.2444312954
120	0.2433340958
121	0.2422581545
122	0.2407151485
123	0.2393731064
124	0.2378995851
125	0.2372303588
126	0.2366431731
127	0.2354727316
128	0.2345713978
129	0.2339349361
130	0.2329966396
131	0.2316730664
132	0.230331852
133	0.2292405361
134	0.227981525
135	0.2267702515
136	0.2257146502
137	0.2247902961
138	0.2233983475
139	0.2228684436
140	0.2223747269
141	0.2214530774
142	0.2195976448
143	0.217420045
144	0.21630729
145	0.2147691018
146	0.2141832226
147	0.212920835
148	0.2122194471
149	0.211618049
150	0.2111699952
151	0.2098621811
152	0.2092701074
153	0.2080974872
154	0.2073008424
155	0.2063598409
156	0.2051069173
157	0.2038946909
158	0.2030602791
159	0.2026052645
160	0.2016735561
161	0.2013333688
162	0.2006520403
163	0.2003371665
164	0.199404062
165	0.1984942897
166	0.1972976005
167	0.1970775977
168	0.1964738352
